Account Id,Brand
23539,SKY
23545,SKY
23546,SKY
23548,SKY
23550,SKY
23551,SKY
23552,SKY
23554,SKY
23555,SKY
23567,SKY
23569,SKY
23572,SKY
23574,SKY
23576,SKY
23579,SKY
23581,SKY
23582,SKY
23591,SKY
23592,SKY
23594,SKY
23595,SKY
23596,SKY
23598,SKY
23600,SKY
23607,SKY
23608,SKY
23609,SKY
23611,SKY
23612,SKY
23613,SKY
23615,SKY
23621,SKY
23623,SKY
23624,SKY
23626,SKY
23627,SKY
23631,SKY
23633,SKY
23634,SKY
23635,SKY
23637,SKY
23638,SKY
23642,SKY
23643,SKY
23645,SKY
23647,SKY
23651,SKY
23659,SKY
23660,SKY
23661,SKY
23667,SKY
23669,SKY
23672,SKY
23674,SKY
23675,SKY
23686,SKY
23689,SKY
23690,SKY
23691,SKY
23693,SKY
23694,SKY
23697,SKY
23698,SKY
23700,SKY
23701,SKY
23704,SKY
23705,SKY
23709,SKY
23711,SKY
23712,SKY
23719,SKY
23721,SKY
23723,SKY
23724,SKY
23733,SKY
23735,SKY
23738,SKY
23743,SKY
23745,SKY
23746,SKY
23748,SKY
23749,SKY
23750,SKY
23751,SKY
23753,SKY
23754,SKY
23758,SKY
23759,SKY
23760,SKY
23763,SKY
23766,SKY
23770,SKY
23771,SKY
23774,SKY
23775,SKY
23779,SKY
23782,SKY
23786,SKY
23790,SKY
23795,SKY
23798,SKY
23799,SKY
23801,SKY
23803,SKY
23805,SKY
23811,SKY
23813,SKY
23816,SKY
23819,SKY
23822,SKY
23823,SKY
23826,SKY
23827,SKY
23828,SKY
23830,SKY
23835,SKY
23839,SKY
23841,SKY
23842,SKY
23843,SKY
23848,SKY
23851,SKY
23861,SKY
23862,SKY
23871,SKY
23875,SKY
23880,SKY
23888,SKY
23897,SKY
23902,SKY
23906,SKY
23918,SKY
23923,SKY
23925,SKY
23926,SKY
23930,SKY
23935,SKY
23937,SKY
23940,SKY
23949,SKY
23951,SKY
23962,SKY
23963,SKY
23968,SKY
23969,SKY
23970,SKY
23971,SKY
23982,SKY
23989,SKY
23993,SKY
23995,SKY
23996,SKY
23999,SKY
24000,SKY
24001,SKY
24005,SKY
24006,SKY
24007,SKY
24011,SKY
24012,SKY
24013,SKY
24014,SKY
24017,SKY
24018,SKY
24019,SKY
24025,SKY
24026,SKY
24028,SKY
24030,SKY
24031,SKY
